unique_id,image_description,generated_caption,semantic_similarity
262f1c14fe,"A woman with dark hair and a white top is posing for a photo with a blurred face, standing in front of a backdrop with the text 'Sexy Awards'.",selena fernandez at the billboard awards,0.2756633162498474
1f80145dac,"A group of people, including a woman in a polka dot dress and a man in a suit, are gathered indoors, possibly at a formal event.",the duchess of cambridge and prince william and kate,0.1230763867497444
230656d1ce,"Two men stand at podiums on a stage with a CNN banner in the background, indicating a presidential debate setting.",two men standing at podiums on a stage,0.8015852570533752
1a5ce2f236,"A black and white image depicting a courtroom scene with a judge, a defendant, and a prosecutor. The judge is seen entering a judgment, and the defendant is holding a bag of money. The setting appears to be a formal courtroom with a crowd of people in the background.",a col col col col col col col col col col col col col col col col col col col,0.0441077426075935
0187bef465,"An image featuring a man in a suit with a tie, glasses, and a serious expression, set against a dark purple background with a red iHeartRadio logo.",a man in a suit and tie with the words countdown countdown countdown countdown countdown countdown countdown countdown countdown countdown,0.5021035075187683
224c6a6ae3,"A man in a suit is speaking into a microphone, with a blurred face, and another man in a grey polo shirt is also shown, with a blurred face.",a man with a mustache and a man with a mustache,0.4448494911193847
2cc77517f1,"An older man in a dark suit is holding a microphone and gesturing with his right hand, possibly giving a speech or presentation.",a man in a suit and tie holding a microphone,0.632072925567627
2fce3023fc,Two individuals pose with a trophy in front of a building with classical architecture.,a man and woman sitting on steps with a trophy,0.4619303345680237
238e08e26f,"An image of a person in a suit with a blurred face, standing in front of a podium with a microphone, in a formal setting that appears to be a debate or public speaking event.",trump and bider face to face,0.3286249041557312
25c8198d75,"Two figures resembling Joe Biden and Donald Trump are depicted in a stylized, pixelated manner against a blue background with stars, suggesting a political context.",a man and woman are facing each other man,0.2068247199058532
021e7c8316,A man in a blue suit and red tie stands with arms outstretched against a red curtain backdrop.,a man in a suit and tie standing on stage,0.6286755204200745
17cf0e45a1,A woman with dark hair and a floral dress against a grey background.,a woman with long hair and a pink dress,0.5295414924621582
06ddf2d72d,"A man in a suit and tie is on a TV set, gesturing with his hand, with a blurred face. To the right, there's a photo of a person's feet in a bathtub with a drain cover, suggesting a humorous or shocking situation.",a man in a suit and tie is shown on the floor,0.5224475860595703
2db8d7be86,"A drag queen with a large, colorful, feathered headdress stands in front of a stained glass window, with a blurred background of a church interior.",a woman in a dress with a colorful light,0.3487110137939453
0f5f3b54e4,The Google logo is displayed against a sky with clouds.,google logo on top of a building,0.6577860116958618
0a9beda314,"A collage of images featuring couples in intimate poses, with one image showing a man and woman in a close embrace, and another showing a woman holding a bouquet of flowers.",a col of a couple kissing,0.4198066592216491
0475888358,"A woman with a husky voice is shown holding a microphone, with a floral background.",a woman with red lipstick and a blue floral background,0.4276252388954162
187e593f3c,"A graduation ceremony with a student speaker in the center, holding a paper, with a crowd of graduates in academic regalia in the background.",a woman in a graduation gown is speaking to a crowd,0.6145609617233276
